Alpha,Gamma,Beta,TargetSteps,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,CompactnessNormalized,BranchingFactor,Temperature,Supersaturation,OriginalPerimeter
2.8485,0.003621,0.6765,1706,360000,360000,0.63662,360000.0,424.2641,1531,235.1404,Faceted Crystal,,0.196513,1.7999,,,360000
0.013,0.023991,0.2405,119,37,37,0.905959,37.0,3.6056,95,0.3895,No Growth,,0.26358,1.8539,,,37
0.009,0.00106,0.3531,668,7,7,1.114084,7.0,1.4142,376,0.0186,No Growth,,0.271496,2.0257,,,7
0.0086,0.000137,0.3331,540,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.2005,0.002058,0.427,1061,547,547,0.429915,547.0,20.1246,1061,0.5156,Hybrid / Transition,,0.054852,2.7996,,,547
1.589,9.2e-05,0.6468,1270,133978,133978,0.307844,133978.0,372.2002,1270,105.4945,Dendrite (Star),,2.8e-05,104.3623,,,133978
0.0131,8.6e-05,0.412,463,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.0635,0.047855,0.8934,770,303243,303243,0.728844,303243.0,363.9176,770,393.8221,Faceted Crystal,,0.203812,1.891,,,303243
0.276,0.002367,0.3587,752,265,265,0.468623,265.0,13.4164,718,0.3691,Hybrid / Transition,,0.060817,2.7759,,,265
0.0015,0.000439,0.7909,671,13,13,0.827606,13.0,2.2361,614,0.0212,No Growth,,0.092609,2.9894,,,13
0.0448,0.019772,0.5474,868,5287,5287,0.721348,5287.0,48.3011,868,6.091,Faceted Crystal,,0.213379,1.8386,,,5287
0.0347,0.000117,0.3191,438,7,7,1.114084,7.0,1.4142,352,0.0199,No Growth,,0.271496,2.0257,,,7
0.0086,0.000145,0.403,444,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.3588,0.001829,0.4513,741,655,655,0.370984,655.0,23.7065,739,0.8863,Hybrid / Transition,,0.025334,3.8267,,,655
3.9411,0.00783,0.5234,1049,360000,360000,0.63662,360000.0,424.2641,876,410.9589,Faceted Crystal,,0.196513,1.7999,,,360000
0.1286,0.021345,0.4607,1744,23443,23443,0.705306,23443.0,102.8591,1744,13.4421,Faceted Crystal,,0.153355,2.1446,,,23443
2.4304,0.003366,0.7475,1514,360000,360000,0.63662,360000.0,424.2641,1204,299.0033,Faceted Crystal,,0.196513,1.7999,,,360000
0.392,0.000104,0.5389,448,421,421,0.268017,421.0,22.3607,437,0.9634,Sparse Dendrite,,0.009111,5.4236,,,421
0.0318,0.000915,0.3676,529,13,13,0.827606,13.0,2.2361,471,0.0276,No Growth,,0.092609,2.9894,,,13
0.0087,0.000151,0.3211,461,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
