Alpha,Gamma,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,Temperature,Supersaturation,OriginalPerimeter,CompactnessNormalized,BranchingFactor
0.5,0.0091,203477,3671,0.5834758858685055,66.22979992792193,333.17412864746865,6841,29.743750913609123,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.455,203477,0.18973891855286434,1.7536109366686594
0.5,0.0082,216487,4063,0.6207824181800162,76.25385819898537,333.17412864746865,7143,30.30757384852303,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.41,216487,0.16479652192166155,1.9408665855856069
0.5,0.0073,187401,4065,0.537377514351223,88.17575679911965,333.17412864746865,7441,25.18492138153474,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.365,187401,0.14251502987289152,1.941821971549469
0.5,0.0064,205197,4785,0.5884080331072294,111.58167517014584,333.17412864746865,8031,25.55061636159881,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.32,205197,0.11262037960207617,2.285760918539781
0.5,0.0055,196139,5245,0.5624339693349263,140.2578018642888,333.17412864746865,8334,23.534797216222703,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.2749999999999999,196139,0.0895948064725388,2.5054996902280355
0.5,0.0046,200397,5849,0.5746439012782324,170.7151354552677,333.17412864746865,8924,22.45596145226356,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.2299999999999999,200397,0.07361017276402448,2.7940262513143526
0.5,0.0037,201227,6950,0.5770239490736632,240.03985548539688,333.17412864746865,9522,21.13285024154589,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.185,201227,0.052351183885215063,3.319966224420371
0.5,0.0028,166495,7375,0.47742898518101223,326.68023063559457,333.17412864746865,10129,16.437456807187285,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.1399999999999999,166495,0.03846688423671712,3.5229857417410413
0.5,0.0019,98801,4607,0.283314581007653,214.8201840040605,333.17412864746865,10749,9.19164573448693,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.095,98801,0.05849715971751456,2.2007315677560646
0.5,0.001,139153,15989,0.39902504925008797,1837.1729031940583,333.17412864746865,11951,11.64362814827211,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.05,139153,0.0068400587622543686,7.6378330880945775
0.5,0.0001,45921,15945,0.13167972869153585,5536.530672120892,333.17412864746865,12917,3.5550824494851745,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.005,45921,0.0022697193167127605,7.616814596889615
0.3,0.01,220195,2671,0.6314152100179165,32.3996503098054,333.17412864746865,8332,26.427628420547286,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.5,220195,0.3878551309702644,1.2759179547376707
0.3,0.0091,230847,3101,0.6619601125684322,41.65616620514169,333.17412864746865,8922,25.87390719569603,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.455,230847,0.30166891865224843,1.4813259369679959
0.3,0.0082,217731,3219,0.6243496223456979,47.590655441588055,333.17412864746865,9228,23.594603381014306,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.41,217731,0.26405121967113876,1.5376937088358524
0.3,0.0073,229233,3545,0.657331923240932,54.822058778383465,333.17412864746865,9820,23.34348268839104,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.365,229233,0.2292210634610154,1.6934216209453548
0.3,0.0064,216257,3447,0.62012288686321,54.94300300080486,333.17412864746865,10699,20.212823628376483,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.32,216257,0.2287164866855916,1.646607708716118
0.3,0.0055,211265,3881,0.6058081897610532,71.29510803932835,333.17412864746865,11304,18.689401981599435,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.2749999999999999,211265,0.17625852544282417,1.853926462874167
0.3,0.0046,192813,4215,0.5528965729884171,92.14225700501449,333.17412864746865,12197,15.80823153234402,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.2299999999999999,192813,0.13638010422958727,2.0134759188391174
